Kinetic,Collision,Radiative,Total, D_Effect
1.870E+01, 2.090E+00, 3.029E-01, 2.393E+00, 4.215E+00
1.880E+01, 2.091E+00, 3.047E-01, 2.396E+00, 4.225E+00
1.890E+01, 2.091E+00, 3.066E-01, 2.398E+00, 4.234E+00
1.900E+01, 2.092E+00, 3.085E-01, 2.401E+00, 4.243E+00
1.910E+01, 2.093E+00, 3.104E-01, 2.403E+00, 4.252E+00
1.920E+01, 2.093E+00, 3.123E-01, 2.405E+00, 4.262E+00
1.930E+01, 2.094E+00, 3.142E-01, 2.408E+00, 4.271E+00
1.940E+01, 2.094E+00, 3.161E-01, 2.410E+00, 4.280E+00
1.950E+01, 2.095E+00, 3.180E-01, 2.413E+00, 4.289E+00
1.960E+01, 2.095E+00, 3.199E-01, 2.415E+00, 4.298E+00
1.970E+01, 2.096E+00, 3.217E-01, 2.417E+00, 4.307E+00
1.980E+01, 2.096E+00, 3.236E-01, 2.420E+00, 4.316E+00
1.990E+01, 2.097E+00, 3.255E-01, 2.422E+00, 4.325E+00
2.000E+01, 2.097E+00, 3.274E-01, 2.425E+00, 4.334E+00
2.500E+01, 2.120E+00, 4.235E-01, 2.543E+00, 4.737E+00
3.000E+01, 2.137E+00, 5.213E-01, 2.659E+00, 5.076E+00
3.500E+01, 2.152E+00, 6.204E-01, 2.772E+00, 5.366E+00
4.000E+01, 2.164E+00, 7.207E-01, 2.885E+00, 5.621E+00
4.500E+01, 2.175E+00, 8.219E-01, 2.997E+00, 5.848E+00
